IP Address,Flows
66.235.133.62,4
65.54.95.68,144
65.54.95.75,88
192.168.3.131,410
109.229.25.126,2
74.217.50.10,1
194.171.12.150,2
12.129.210.71,2
172.16.255.1,112
194.165.188.76,1
10.0.2.15,65
206.108.207.139,2
207.46.0.109,7
206.108.207.138,12
204.14.234.85,113
204.9.163.181,6
65.54.186.19,10
72.14.213.147,25
65.55.116.184,5
184.85.226.161,20
209.17.73.30,34
65.54.189.173,9
208.82.236.129,25
72.14.213.102,20
76.74.140.168,3
130.117.72.100,24
65.55.5.232,1
207.46.96.145,11
65.54.95.140,52
63.215.202.49,1
96.43.146.176,796
172.16.133.43,400
172.16.133.57,3395
172.16.133.82,632
96.43.146.50,50
172.16.133.13,412
172.16.133.113,277
172.16.133.233,850
68.64.29.40,322
67.217.78.32,152
68.64.21.62,1650
172.16.133.20,719
172.16.133.103,73
172.16.133.37,1325
67.217.78.36,147
172.16.133.53,974
172.16.133.92,1032
68.64.29.28,242
67.217.66.65,42
157.56.241.150,73
172.16.128.254,13
172.16.133.132,833
172.16.133.109,196
172.16.133.6,431
172.16.133.99,611
68.64.21.40,361
172.16.133.87,817
172.16.133.116,1873
68.64.21.42,673
98.138.19.88,15
68.64.21.41,634
172.16.133.84,413
172.16.133.35,928
157.56.232.214,349
157.56.242.198,373
98.139.134.187,29
68.64.21.44,314
68.64.21.45,1010
172.16.133.85,834
172.16.133.118,568
172.16.133.39,659
24.63.70.49,7
172.16.133.114,718
172.16.133.254,214
172.16.133.46,414
96.43.146.22,576
172.16.133.67,1204
184.96.221.120,9
172.16.133.68,854
173.49.112.206,12
172.16.133.49,944
172.16.133.95,1841
172.16.133.76,78
172.16.133.42,1241
172.16.125.220,248
68.64.21.37,353
67.217.64.49,215
172.16.133.29,599
172.16.133.44,539
23.20.10.203,6
172.16.128.169,251
157.56.236.102,63
107.20.103.220,30
208.85.40.50,1
5.79.25.105,20
67.217.64.54,108
172.16.133.83,609
172.16.133.207,1327
172.16.133.28,793
172.16.133.93,836
172.16.133.11,766
172.16.133.47,539
172.16.133.73,789
172.16.133.21,580
216.219.115.17,49
172.16.133.36,1725
172.16.133.235,27
172.16.133.97,447
172.16.133.88,27
172.16.133.12,681
172.16.133.60,594
67.217.65.65,40
68.64.21.36,253
208.92.54.5,218
172.16.131.10,108
172.16.133.24,213
96.43.146.48,1342
216.137.33.209,7
172.16.133.33,476
67.217.66.99,33
68.64.21.46,170
172.16.133.66,772
216.185.152.111,14
202.68.93.36,1
23.33.81.244,23
76.13.6.174,13
172.16.133.23,115
130.64.83.164,10
