Source-Destination Pair,Total Data (bytes)
66.235.133.62:80 -> 192.168.3.131:56053,1580
65.54.95.68:80 -> 192.168.3.131:56368,21196
65.54.95.75:80 -> 192.168.3.131:56427,12076
192.168.3.131:52399 -> 72.14.213.132:443,211
109.229.25.126:443 -> 172.16.255.1:10684,193
192.168.3.131:56061 -> 195.27.155.11:80,1130
192.168.3.131:58543 -> 208.82.236.130:80,108
74.217.50.10:80 -> 192.168.3.131:57038,60
194.171.12.150:44386 -> 172.16.255.1:50983,525
12.129.210.71:80 -> 192.168.3.131:56167,1574
172.16.255.1:10646 -> 184.85.226.161:443,1650
192.168.3.131:56029 -> 65.54.95.142:80,1339
192.168.3.131:52152 -> 72.14.213.147:443,1509
172.16.255.1:10622 -> 147.31.122.1:443,870
194.165.188.76:443 -> 172.16.255.1:10635,60
65.54.95.68:80 -> 192.168.3.131:56351,60
172.16.255.1:10638 -> 130.117.72.100:443,702
192.168.3.131:57147 -> 208.50.77.97:5480,54
65.54.95.68:80 -> 192.168.3.131:56110,6116
192.168.3.131:56328 -> 76.74.140.168:80,66
65.54.95.75:80 -> 192.168.3.131:56175,442
192.168.3.131:56022 -> 65.55.206.199:80,3290
10.0.2.15:2528 -> 65.54.189.173:61863,216
192.168.3.131:56044 -> 65.54.95.216:80,108
192.168.3.131:56112 -> 65.54.95.68:80,120
206.108.207.139:80 -> 192.168.3.131:55960,1152
207.46.0.109:80 -> 192.168.3.131:56051,845
206.108.207.138:80 -> 192.168.3.131:56058,18168
192.168.3.131:57244 -> 204.14.234.85:8443,1904
65.54.95.68:80 -> 192.168.3.131:56065,24290
172.16.255.1:10653 -> 128.241.90.211:80,535
192.168.3.131:56438 -> 65.54.95.75:80,174
204.14.234.85:443 -> 192.168.3.131:57247,3661
204.9.163.181:443 -> 172.16.255.1:10642,1534
10.0.2.15:2552 -> 70.37.129.32:80,216
192.168.3.131:58517 -> 208.82.236.130:80,54
65.54.186.19:5443 -> 10.0.2.15:2526,3677
72.14.213.147:443 -> 192.168.3.131:52152,12695
204.14.234.85:8443 -> 192.168.3.131:57244,17342
172.16.255.1:50983 -> 76.167.181.32:10848,72
204.14.234.85:8443 -> 192.168.3.131:57248,3618
172.16.255.1:10667 -> 194.192.199.252:443,162
65.55.116.184:80 -> 10.0.2.15:2543,120
192.168.3.131:58668 -> 208.82.236.130:80,120
172.16.255.1:10649 -> 184.85.226.161:443,162
65.54.95.68:80 -> 192.168.3.131:56511,28886
192.168.3.131:57244 -> 204.14.234.85:443,4306
192.168.3.131:56495 -> 207.46.148.38:80,108
184.85.226.161:443 -> 172.16.255.1:10646,10813
10.0.2.15:2529 -> 207.46.96.145:5480,162
192.168.3.131:57243 -> 204.14.234.85:8443,7707
192.168.3.131:58547 -> 204.9.163.166:80,108
72.14.213.147:80 -> 192.168.3.131:57839,1123
172.16.255.1:10650 -> 184.85.226.161:443,1212
192.168.3.131:52202 -> 72.14.213.102:443,293
192.168.3.131:57198 -> 69.63.181.15:5480,54
209.17.73.30:80 -> 192.168.3.131:58790,15200
192.168.3.131:57247 -> 204.14.234.85:8443,1568
192.168.3.131:56257 -> 65.54.95.75:80,54
192.168.3.131:58790 -> 209.17.73.30:80,877
